target,logprob,condition
word_0,-0.437164735,related
word_0,-0.74094352,unrelated
word_2,-6.8859367,related
word_2,-9.617881,unrelated
word_4,,related
word_4,,unrelated
word_6,-7.9751763,related
word_6,-7.768054,unrelated
word_8,,related
word_8,,unrelated
word_10,,related
word_10,,unrelated
word_12,-0.0015572358,related
word_12,-0.0036146818,unrelated
word_14,-2.4987974e-05,related
word_14,-0.101802625,unrelated
word_16,-10.502318,related
word_16,,unrelated
word_18,-10.375445,related
word_18,,unrelated
word_20,,related
word_20,,unrelated
word_22,-9.8761635,related
word_22,-8.260265,unrelated
word_24,,related
word_24,,unrelated
word_26,,related
word_26,,unrelated
word_28,,related
word_28,-3.2887576,unrelated
word_30,-9.125124,related
word_30,,unrelated
word_32,,related
word_32,,unrelated
word_34,-0.06202023,related
word_34,-0.3148652,unrelated
word_36,,related
word_36,,unrelated
